,0
0,0.1409755
1,0.2836413
2,0.2752523
3,0.1948619
4,0.2455945
5,0.2909016
6,0.1978509
7,0.2345126
8,-0.02670917
9,0.09802971
10,0.1624687
11,0.2814217
12,0.3804417
13,0.3867496
14,0.1187176
15,0.1578788
16,0.2651764
17,0.286308
18,0.3495585
19,0.3100788
20,0.1204464
21,0.3509167
22,0.3134771
23,0.1527824
24,0.3146945
25,0.2126466
26,-0.04718512
27,0.0596169
28,0.1667874
29,0.3152964
30,0.008142139
31,0.3232105
32,0.2886714
33,0.1388747
34,0.3377651
35,0.2813936
36,0.106956
37,0.2798468
38,0.1605274
39,0.2169955
40,0.2471192
41,0.3238569
42,0.1628514
43,0.1731347
44,0.155583
45,0.06244973
46,0.311464
47,0.03999498
48,0.1729375
49,0.250262
50,0.08563996
51,0.4525997
52,0.1652092
53,0.2717646
54,0.1998447
55,0.07014745
56,0.2951761
57,0.1973315
58,0.3119597
59,0.3102305
60,0.06273236
61,0.3582119
62,0.1400551
63,0.3599836
64,0.1683673
65,0.2594758
66,0.04034496
67,0.2793769
68,0.2281097
69,0.02521672
70,0.3294362
71,0.004829524
72,0.125574
73,0.342164
74,0.214101
75,0.4217645
76,0.1946456
77,0.1767237
78,0.1846546
79,0.4061922
80,0.01915139
81,0.2203113
82,0.2056416
83,0.1376233
84,0.1269223
85,0.1031082
86,-0.1612056
87,0.1912051
88,-0.04836923
89,0.2735303
90,0.1935911
91,0.4050776
92,0.1126154
93,0.2380731
94,0.2302022
95,0.1534879
96,0.2855142
97,0.2218646
98,0.2557412
99,0.3321216
100,0.02432472
101,0.4282768
102,0.1008992
103,0.1509139
104,0.2244226
105,0.02913111
106,0.2292938
107,0.3568426
108,0.2058326
109,0.05051937
110,0.1315277
111,0.2607512
112,0.2475428
113,0.195232
114,0.3445376
115,-0.0302505
116,0.2601103
117,0.0902336
118,0.2142385
119,0.01498954
120,0.1926094
121,-0.0826446
122,0.09872349
123,0.3381982
124,0.2197618
125,0.1159712
126,0.229234
127,0.1539595
128,0.2335479
129,0.2462834
130,0.01406403
131,0.38632
132,0.1921221
133,0.3311281
134,0.1299098
135,0.3517939
136,0.1926626
137,0.1798082
138,-0.04193579
139,0.2752886
140,0.2226476
141,0.3443026
142,0.1317781
143,0.3794837
144,0.1568265
145,0.09850996
146,0.2864491
147,0.3149391
148,0.1531638
149,0.4435398
150,0.2688605
151,0.3043963
152,0.3967589
153,0.02666109
154,0.07626494
155,0.3103276
156,0.3147772
157,0.3403473
158,0.2600782
159,0.3890022
160,0.1548323
161,0.1585338
162,0.2370934
163,0.1092367
164,0.08810348
165,0.4774305
166,0.1637526
167,0.1930168
168,0.3321946
169,0.3406413
170,-0.05649083
171,0.08303304
172,0.2330473
173,0.2640148
174,0.2796566
175,0.1665495
176,0.3984185
177,0.3625289
178,0.3673904
179,0.110192
180,0.02957422
181,0.12184
182,0.1422397
183,0.05832514
184,0.2382177
185,0.3250014
186,0.2430453
187,0.2797269
188,0.3611939
189,0.3304512
190,0.07649382
191,0.2309313
192,0.07728954
193,0.1619521
194,0.09529206
195,-0.0173084
196,0.362646
197,0.253852
198,0.2165917
199,0.3485567
200,0.1532385
201,0.230467
202,0.3105994
203,0.02820845
204,0.1200918
205,0.1951378
206,0.3159611
207,0.1553547
208,0.414867
209,0.1107726
210,0.1970258
211,0.24758
212,0.2604006
213,0.2153799
214,0.05117062
215,0.2411723
216,0.2645185
217,0.2623452
218,-0.02408256
219,0.1590809
220,0.4404714
221,0.1181763
222,0.04603793
223,0.2006228
224,0.3571825
225,0.3508686
226,0.002340736
227,0.1989861
228,0.09446075
229,0.2588739
230,0.07547965
231,0.1132828
232,0.11695
233,0.3830774
234,0.4778748
235,0.2853692
236,-0.1431434
237,0.3832675
238,0.252811
239,0.3185806
240,0.430534
241,0.03803885
242,0.164026
243,0.115268
244,-0.02219196
245,0.01127556
246,0.3416692
247,0.2737776
248,-0.06307771
249,-0.01288043
250,0.2383313
251,-0.08534339
252,0.2396572
253,0.3402478
254,0.15706
255,0.09256144
256,0.1301669
257,-0.1372461
258,0.2497997
259,0.3369528
260,0.250344
261,0.2712984
262,0.1905765
263,0.1494622
264,0.2485351
265,0.151522
266,0.1230199
267,0.349408
268,0.3016846
269,0.1074837
270,0.143595
271,0.1644016
272,0.3266685
273,0.2559409
274,0.3459998
275,0.124628
276,0.1144733
277,0.2975905
278,0.1819089
279,0.1148831
280,0.2446314
281,0.2102568
282,0.3977787
283,0.3921458
284,0.002238456
285,0.2461613
286,0.07688477
287,0.27629
288,-0.1131478
289,0.0802478
290,0.09367767
291,0.1824944
292,0.2374914
293,0.1991355
294,0.2815985
295,0.05374752
296,0.08212658
297,0.2209203
298,0.07314392
299,0.05848612
300,0.390159
301,0.2683201
302,0.2457721
303,0.08414936
304,0.2321702
305,0.3258905
306,0.2672538
307,0.05158781
308,0.0609568
309,0.2494769
310,0.3596538
311,0.2120983
312,0.2267383
313,0.07529672
314,0.04904668
315,0.02233345
316,0.1557145
317,0.2597557
318,0.4794809
319,0.3325842
320,0.2370352
321,0.3466426
322,0.1163649
323,0.02931698
324,0.2091187
325,0.2989312
326,0.2598419
327,0.1854695
328,0.4059584
329,0.2755208
330,0.3555347
331,0.2967422
332,0.08246932
333,0.2532638
334,0.2335305
335,0.3285938
336,0.2885502
337,0.1341523
338,0.2218907
339,0.1226702
340,0.1113025
341,0.1021462
342,0.02269628
343,0.4233599
344,0.209695
345,0.1841297
346,-0.02231272
347,0.2267597
348,0.1574163
349,-0.02253312
